SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
ATGL,BL,25-Jul-22,210.95,2874.2,2874.2,2874.2,2874.2,2874.2,2874.2,324759,933422317.8,1,-,-
ATGL,EQ,25-Jul-22,2874.2,2860,2924.2,2836.85,2875,2878.85,2881.89,363143,1046539406,24453,86137,23.72
ATGL,EQ,26-Jul-22,2878.85,2890,2912,2841.5,2886,2898.2,2881.95,230808,665177336.6,18515,81539,35.33
ATGL,EQ,27-Jul-22,2898.2,2908,2977.95,2885,2964,2960.1,2942.74,310009,912274336.4,23431,106425,34.33
ATGL,EQ,28-Jul-22,2960.1,2977,3018,2958.3,3014,3005.9,2989.66,258796,773713166.6,14968,101191,39.1
ATGL,EQ,29-Jul-22,3005.9,3035,3158,3014,3145,3127.2,3089.62,457762,1414310892,32397,189653,41.43
ATGL,EQ,1-Aug-22,3127.2,3144,3232.3,3080,3207.25,3217.65,3173.88,495733,1573395898,32028,150883,30.44
ATGL,EQ,2-Aug-22,3217.65,3210,3265.55,3173.2,3236,3248.85,3229.63,500363,1615986140,32315,165471,33.07
ATGL,EQ,3-Aug-22,3248.85,3240,3299,2811,3297,3269.95,3236,336678,1089491047,28960,110474,32.81
ATGL,EQ,4-Aug-22,3269.95,3284.85,3389,3180,3362,3349.65,3306.61,672043,2222181425,48419,152547,22.7
ATGL,EQ,5-Aug-22,3349.65,3365.9,3378.8,3302.55,3320,3347.4,3338.87,502620,1678184574,29549,129883,25.84
ATGL,BL,8-Aug-22,2874.2,3347.4,3347.4,3347.4,3347.4,3347.4,3347.4,324759,1087098277,1,-,-
ATGL,EQ,8-Aug-22,3347.4,3363.95,3474,3287.25,3350,3365,3387.3,514366,1742312869,31837,240347,46.73
ATGL,EQ,10-Aug-22,3365,3388,3390,3271,3352.2,3351.4,3342.32,551856,1844480145,26530,265393,48.09
ATGL,EQ,11-Aug-22,3351.4,3362,3399.3,3309,3348,3352.3,3358.05,473134,1588805801,18165,270115,57.09
ATGL,EQ,12-Aug-22,3352.3,3347,3439.8,3338.35,3428,3425.4,3411.6,453978,1548790304,19479,285100,62.8
